Assembly	N50	N75	# contigs	Largest contig	Total length	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	L50	L75	# N's per 100 kbp
D01-NF-R1	     8224	     1444	   143884	   690940	337689582	   571824	    55262	     9580	     4981	     1806	      717	462823779	277570639	191760103	159805359	110432239	 72553557	     5975	    34810	        0
D02-NF-R1	    11208	     1890	   124723	   802924	340685664	   435167	    52793	     9767	     5054	     2129	      928	431152484	291596259	208234137	175622908	130081645	 87711196	     4555	    25836	        0
D02-NF-R2	     8183	     1824	   114456	   607512	303642380	   390229	    52842	     8874	     4328	     1701	      695	383615195	261386216	174560655	143362527	103048961	 67864643	     5266	    27501	        0
D02-NF-R3	     8073	     1790	   109872	   461972	290187132	   360850	    50923	     8267	     4028	     1618	      674	362801833	249682659	165523218	136403447	 99043231	 65715206	     4999	    26636	        0
D03-NF-R1	     9033	     1752	   145821	   612595	380446690	   496988	    63333	    12117	     6189	     2131	      792	481695863	323945852	225476684	184259461	122012839	 75841042	     6818	    33538	        0
D04-NF-R1	     6400	     1817	   237633	   714929	622158292	   661245	   119755	    20617	     8988	     2866	     1090	739859028	540340785	340679862	260675954	168618659	107235802	    15362	    64339	        0
D05-NF-R1	    11017	     1863	   121394	   469061	329604487	   409927	    51531	     9729	     5097	     1993	      841	414429866	281903784	201681258	169522501	121655314	 81627869	     4647	    25417	        0
D06-NF-R1	    10497	     1750	   120560	   578061	317219480	   445619	    50035	     8632	     4407	     1884	      885	411922941	269156455	189708416	160601247	122002781	 87427514	     4213	    25922	        0
D07-NF-R1	    14178	     2493	   158193	   601454	491503995	   570366	    70607	    15045	     7906	     3147	     1344	610659525	431885796	321315825	271812359	197881884	135029269	     5716	    28671	        0
D08-NF-R1	     9472	     1990	   125705	   541364	346486791	   515485	    56426	    10945	     5431	     1992	      823	457399200	299387557	208624267	170373412	117722058	 77464239	     5726	    27758	        0
D09-NF-R1	    10768	     2102	   121150	   590905	346487462	   436431	    54405	    10997	     5569	     2002	      827	437273653	300978467	215212131	177458573	122756421	 82206659	     5163	    25216	        0
D10-NF-R1	    22428	     3260	    72438	   773251	269961125	   188327	    35814	     7637	     4694	     2107	      902	303989685	244553721	190277796	169709670	128777276	 86048199	     2369	    10679	        0
