Name	Length	Count
D09-NF-R1	1000	115282
D09-NF-R1	1100	122328
D09-NF-R1	1200	125546
D09-NF-R1	1300	127754
D09-NF-R1	1400	126726
D09-NF-R1	1500	123305
D09-NF-R1	1600	118915
D09-NF-R1	1700	113148
D09-NF-R1	1800	106280
D09-NF-R1	1900	100167
D09-NF-R1	2000	93486
D09-NF-R1	2100	86837
D09-NF-R1	2200	81234
D09-NF-R1	2300	75089
D09-NF-R1	2400	70020
D09-NF-R1	2500	65503
D09-NF-R1	2600	61223
D09-NF-R1	2700	57430
D09-NF-R1	2800	54276
D09-NF-R1	2900	50805
D09-NF-R1	3000	48419
D09-NF-R1	3100	46682
D09-NF-R1	3200	45484
D09-NF-R1	3300	44523
D09-NF-R1	3400	43895
D09-NF-R1	3500	44408
D09-NF-R1	3600	45258
D09-NF-R1	3700	46575
D09-NF-R1	3800	48204
D09-NF-R1	3900	49994
D09-NF-R1	4000	51324
D09-NF-R1	4100	54221
D09-NF-R1	4200	56445
D09-NF-R1	4300	61399
D09-NF-R1	4400	57093
D09-NF-R1	4500	61063
D09-NF-R1	4600	58875
D09-NF-R1	4700	59937
D09-NF-R1	4800	61629
D09-NF-R1	4900	63532
D09-NF-R1	5000	65004
D09-NF-R1	5100	58357
D09-NF-R1	5200	59411
D09-NF-R1	5300	57296
D09-NF-R1	5400	58795
D09-NF-R1	5500	56107
D09-NF-R1	5600	57719
D09-NF-R1	5700	53640
D09-NF-R1	5800	53034
D09-NF-R1	5900	56834
D09-NF-R1	6000	52247
D09-NF-R1	6100	50188
D09-NF-R1	6200	47695
D09-NF-R1	6300	49091
D09-NF-R1	6400	47656
D09-NF-R1	6500	44694
D09-NF-R1	6600	45336
D09-NF-R1	6700	41264
D09-NF-R1	6800	39760
D09-NF-R1	6900	39747
D09-NF-R1	7000	37229
D09-NF-R1	7100	35799
D09-NF-R1	7200	34807
D09-NF-R1	7300	33253
D09-NF-R1	7400	34592
D09-NF-R1	7500	30621
D09-NF-R1	7600	29600
D09-NF-R1	7700	28264
D09-NF-R1	7800	27400
D09-NF-R1	7900	26335
D09-NF-R1	8000	24979
D09-NF-R1	8100	24029
D09-NF-R1	8200	23014
D09-NF-R1	8300	21835
D09-NF-R1	8400	21189
D09-NF-R1	8500	20303
D09-NF-R1	8600	19142
D09-NF-R1	8700	18217
D09-NF-R1	8800	17876
D09-NF-R1	8900	16379
D09-NF-R1	9000	16056
D09-NF-R1	9100	15326
D09-NF-R1	9200	14598
D09-NF-R1	9300	13677
D09-NF-R1	9400	13035
D09-NF-R1	9500	12498
D09-NF-R1	9600	11522
D09-NF-R1	9700	10978
D09-NF-R1	9800	10204
D09-NF-R1	9900	9854
D09-NF-R1	10000	9437
D09-NF-R1	10100	8840
D09-NF-R1	10200	8416
D09-NF-R1	10300	7881
D09-NF-R1	10400	7602
D09-NF-R1	10500	6984
D09-NF-R1	10600	6547
D09-NF-R1	10700	6177
D09-NF-R1	10800	5816
D09-NF-R1	10900	5684
D09-NF-R1	11000	5172
D09-NF-R1	11100	4926
D09-NF-R1	11200	4627
D09-NF-R1	11300	4315
D09-NF-R1	11400	4114
D09-NF-R1	11500	3750
D09-NF-R1	11600	3539
D09-NF-R1	11700	3354
D09-NF-R1	11800	3176
D09-NF-R1	11900	2926
D09-NF-R1	12000	2748
D09-NF-R1	12100	2536
D09-NF-R1	12200	2415
D09-NF-R1	12300	2108
D09-NF-R1	12400	2044
D09-NF-R1	12500	1879
D09-NF-R1	12600	1750
D09-NF-R1	12700	1641
D09-NF-R1	12800	1505
D09-NF-R1	12900	1382
D09-NF-R1	13000	1259
D09-NF-R1	13100	1219
D09-NF-R1	13200	1122
D09-NF-R1	13300	1040
D09-NF-R1	13400	904
D09-NF-R1	13500	930
D09-NF-R1	13600	840
D09-NF-R1	13700	777
D09-NF-R1	13800	709
D09-NF-R1	13900	605
D09-NF-R1	14000	605
D09-NF-R1	14100	548
D09-NF-R1	14200	534
D09-NF-R1	14300	448
D09-NF-R1	14400	396
D09-NF-R1	14500	378
D09-NF-R1	14600	312
D09-NF-R1	14700	345
D09-NF-R1	14800	278
D09-NF-R1	14900	269
D09-NF-R1	15000	220
D09-NF-R1	15100	227
D09-NF-R1	15200	213
D09-NF-R1	15300	218
D09-NF-R1	15400	171
D09-NF-R1	15500	147
D09-NF-R1	15600	166
D09-NF-R1	15700	119
D09-NF-R1	15800	109
D09-NF-R1	15900	132
D09-NF-R1	16000	95
D09-NF-R1	16100	96
D09-NF-R1	16200	81
D09-NF-R1	16300	68
D09-NF-R1	16400	64
D09-NF-R1	16500	62
D09-NF-R1	16600	56
D09-NF-R1	16700	53
D09-NF-R1	16800	40
D09-NF-R1	16900	36
D09-NF-R1	17000	33
D09-NF-R1	17100	25
D09-NF-R1	17200	34
D09-NF-R1	17300	26
D09-NF-R1	17400	30
D09-NF-R1	17500	18
D09-NF-R1	17600	31
D09-NF-R1	17700	19
D09-NF-R1	17800	9
D09-NF-R1	17900	19
D09-NF-R1	18000	16
D09-NF-R1	18100	19
D09-NF-R1	18200	17
D09-NF-R1	18300	13
D09-NF-R1	18400	19
D09-NF-R1	18500	9
D09-NF-R1	18600	8
D09-NF-R1	18700	6
D09-NF-R1	18800	12
D09-NF-R1	18900	4
D09-NF-R1	19000	6
D09-NF-R1	19100	8
D09-NF-R1	19200	2
D09-NF-R1	19300	6
D09-NF-R1	19400	6
D09-NF-R1	19500	4
D09-NF-R1	19600	4
D09-NF-R1	19700	5
D09-NF-R1	19800	3
D09-NF-R1	19900	2
D09-NF-R1	20000	4
D09-NF-R1	20100	5
D09-NF-R1	20200	4
D09-NF-R1	20300	1
D09-NF-R1	20400	2
D09-NF-R1	20500	1
D09-NF-R1	20700	1
D09-NF-R1	20800	1
D09-NF-R1	20900	3
D09-NF-R1	21000	6
D09-NF-R1	21100	2
D09-NF-R1	21200	1
D09-NF-R1	21300	1
D09-NF-R1	21400	2
D09-NF-R1	21500	2
D09-NF-R1	21700	1
D09-NF-R1	21800	4
D09-NF-R1	22000	1
D09-NF-R1	22100	1
D09-NF-R1	22200	1
D09-NF-R1	22600	1
D09-NF-R1	22900	1
D09-NF-R1	23100	1
D09-NF-R1	23300	1
D09-NF-R1	23500	1
