file                                                      format  type     num_seqs         sum_len  min_len  avg_len  max_len     Q1     Q2     Q3  sum_gap     N50  Q20(%)  Q30(%)  GC(%)
infinity_Donor10.dragen.combined_rendered.original.fq.gz  FASTQ   DNA     3,973,755  17,114,530,196    1,000  4,306.9   24,223  2,124  4,110  5,896        0   5,547   94.75   92.22     46
infinity_Donor1.dragen.combined_rendered.original.fq.gz   FASTQ   DNA     3,996,937  17,139,068,437    1,000  4,288.1   24,160  2,118  4,118  5,894        0   5,549   93.83    91.2  49.05
infinity_Donor2.dragen.combined_rendered.original.fq.gz   FASTQ   DNA     4,365,065  19,627,168,823    1,000  4,496.4   24,479  2,149  4,264  6,212        0   5,875   93.85   91.23  47.28
infinity_Donor3.dragen.combined_rendered.original.fq.gz   FASTQ   DNA     3,443,960  15,106,025,097    1,000  4,386.2   24,272  2,133  4,162  6,031        0   5,703   91.99   88.67  48.07
infinity_Donor4.dragen.combined_rendered.original.fq.gz   FASTQ   DNA     4,267,217  18,488,119,015    1,000  4,332.6   22,961  2,054  4,107  6,001        0   5,693   91.98   88.24  49.03
infinity_Donor5.dragen.combined_rendered.original.fq.gz   FASTQ   DNA     4,217,220  18,239,427,466    1,000    4,325   29,522  2,094  4,082  5,963        0   5,644   94.73   92.08   49.9
infinity_Donor6.dragen.combined_rendered.original.fq.gz   FASTQ   DNA     4,301,632  18,733,766,146    1,000    4,355   24,873  2,069  4,108  6,013        0   5,698   93.78   91.05  48.89
infinity_Donor7.dragen.combined_rendered.original.fq.gz   FASTQ   DNA     3,738,526  16,437,701,195    1,000  4,396.8   24,139  2,168  4,199  6,000        0   5,656   93.54   90.85  47.68
infinity_Donor8.dragen.combined_rendered.original.fq.gz   FASTQ   DNA     4,368,111  19,259,605,154    1,000  4,409.1   25,774  2,135  4,160  6,084        0   5,755   94.03   91.24   47.2
infinity_Donor9.dragen.combined_rendered.original.fq.gz   FASTQ   DNA     4,760,444  20,879,703,251    1,000  4,386.1   23,500  2,010  4,080  6,134        0   5,867   91.68   88.45  49.15
nanopore_D01_Trimmed.fastq.gz                             FASTQ   DNA     3,427,926   6,975,134,023        2  2,034.8  120,600    415    767  1,617        0   6,270   83.02   50.32  47.36
nanopore_D02_Trimmed.fastq.gz                             FASTQ   DNA     3,728,305  10,504,528,956        1  2,817.5  119,584    365    802  2,051        0  11,792   84.22   51.44  44.95
nanopore_D03_Trimmed.fastq.gz                             FASTQ   DNA     2,138,186   3,821,252,166        2  1,787.1   89,357    398    847  1,697        0   3,908   81.84   49.43  47.12
nanopore_D04_Trimmed.fastq.gz                             FASTQ   DNA     2,783,884   9,680,589,051        1  3,477.4  126,014    569  1,045  2,918        0  12,133    83.7   51.26  46.38
nanopore_D05_Trimmed.fastq.gz                             FASTQ   DNA     4,105,765  13,307,082,940        1  3,241.1  100,893    740  1,450  3,397        0   7,435   82.06   48.71   48.8
nanopore_D06_Trimmed.fastq.gz                             FASTQ   DNA     3,979,143  13,673,668,708        2  3,436.3  115,023    590  1,219  3,295        0  10,374   82.73   49.28  48.06
nanopore_D07_Trimmed.fastq.gz                             FASTQ   DNA     4,294,185   6,712,765,517        1  1,563.2  115,522    324    745  1,504        0   3,360   81.74   49.14  48.03
nanopore_D08_Trimmed.fastq.gz                             FASTQ   DNA     2,753,336  12,307,179,355        1  4,469.9  136,497    701  1,476  4,661        0  13,277   83.49   49.48  45.37
nanopore_D09_Trimmed.fastq.gz                             FASTQ   DNA     5,073,681   9,240,959,479        1  1,821.4  106,564    422    697  1,247        0   6,556   83.95   50.81  46.05
nanopore_D10_Trimmed.fastq.gz                             FASTQ   DNA     2,358,534   4,123,840,716        2  1,748.5   93,681    349    710  1,398        0   5,171   82.77   49.19  45.69
shortread_D01-NF-R1_1.fq.gz                               FASTQ   DNA    31,905,354   4,715,601,051       60    147.8      151    150    151    151        0     151   98.05   94.26  49.01
shortread_D01-NF-R1_2.fq.gz                               FASTQ   DNA    31,905,354   4,719,455,252       60    147.9      151    150    151    151        0     151   97.75   93.34  49.02
shortread_D01-NF-R1_orphans.fq.gz                         FASTQ   DNA     1,321,292     119,637,809       35     90.5      151     46     57    150        0     150   92.57   84.48  48.78
shortread_D02-NF-R2_1.fq.gz                               FASTQ   DNA    23,260,395   3,439,918,340       60    147.9      151    150    151    151        0     151    97.2   91.98  46.65
shortread_D02-NF-R2_2.fq.gz                               FASTQ   DNA    23,260,395   3,446,753,968       60    148.2      151    150    151    151        0     151   98.07   93.85  46.65
shortread_D02-NF-R2_orphans.fq.gz                         FASTQ   DNA       894,867      81,743,549       35     91.3      151     46     57    150        0     150   93.71   86.15  46.62
shortread_D03-NF-R1_1.fq.gz                               FASTQ   DNA    53,591,089   7,903,905,769       60    147.5      151    150    151    151        0     151   98.11    94.4  46.28
shortread_D03-NF-R1_2.fq.gz                               FASTQ   DNA    53,591,089   7,908,732,803       60    147.6      151    150    151    151        0     151   97.66   93.15  46.28
shortread_D03-NF-R1_orphans.fq.gz                         FASTQ   DNA     3,321,938     262,881,527       35     79.1      151     44     53    149        0     148    93.3   85.92  45.64
shortread_D04-NF-R1_1.fq.gz                               FASTQ   DNA    63,980,066   9,475,894,780       60    148.1      151    150    151    151        0     151   97.68   93.22  48.19
shortread_D04-NF-R1_2.fq.gz                               FASTQ   DNA    63,980,066   9,484,788,453       60    148.2      151    150    151    151        0     151   97.78   93.28  48.21
shortread_D04-NF-R1_orphans.fq.gz                         FASTQ   DNA     2,521,150     231,407,907       35     91.8      151     47     57    150        0     150   92.87   84.88  47.89
shortread_D05-NF-R1_1.fq.gz                               FASTQ   DNA    40,527,011   6,002,149,882       60    148.1      151    150    151    151        0     151   98.14   94.53  48.91
shortread_D05-NF-R1_2.fq.gz                               FASTQ   DNA    40,527,011   6,005,761,075       60    148.2      151    150    151    151        0     151    97.6   93.07  48.93
shortread_D05-NF-R1_orphans.fq.gz                         FASTQ   DNA     1,916,441     172,784,259       35     90.2      151     46     57    150        0     150   92.93   84.97   48.3
shortread_D06-NF-R1_1.fq.gz                               FASTQ   DNA    48,283,770   7,129,020,655       60    147.6      151    150    151    151        0     151   98.18   94.56  48.78
shortread_D06-NF-R1_2.fq.gz                               FASTQ   DNA    48,283,770   7,132,660,951       60    147.7      151    150    151    151        0     151   97.67    93.2  48.79
shortread_D06-NF-R1_orphans.fq.gz                         FASTQ   DNA     2,071,694     186,648,991       35     90.1      151     46     57    150        0     150   92.74   84.65  48.24
shortread_D07-NF-R1_1.fq.gz                               FASTQ   DNA   107,274,161  15,829,329,801       60    147.6      151    150    151    151        0     151   97.25   92.15  47.72
shortread_D07-NF-R1_2.fq.gz                               FASTQ   DNA   107,274,161  15,858,994,654       60    147.8      151    150    151    151        0     151   97.96   93.65  47.72
shortread_D07-NF-R1_orphans.fq.gz                         FASTQ   DNA     6,754,722     529,130,984       35     78.3      151     44     53    149        0     147   94.48   87.75  47.18
shortread_D08-NF-R1_1.fq.gz                               FASTQ   DNA    34,324,108   5,073,375,956       60    147.8      151    150    151    151        0     151   98.13   94.52  48.01
shortread_D08-NF-R1_2.fq.gz                               FASTQ   DNA    34,324,108   5,077,030,435       60    147.9      151    150    151    151        0     151   97.77   93.43  48.05
shortread_D08-NF-R1_orphans.fq.gz                         FASTQ   DNA     1,328,489     127,322,852       35     95.8      151     48     59    150        0     150   92.02   83.45  47.78
shortread_D09-NF-R1_1.fq.gz                               FASTQ   DNA    31,297,159   4,628,015,017       60    147.9      151    150    151    151        0     151   98.18   94.57  48.31
