Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S	low.quality	med.quality	high.quality.nayfach	high.quality.bowers	# contigs (>= 10000 bp)	# contigs (>= 50000 bp)	# contigs (>= 100000 bp)	# contigs (>= 250000 bp)	# contigs (>= 500000 bp)	# contigs (>= 1000000 bp)	# contigs (>= 2000000 bp)	# contigs (>= 3000000 bp)	Total length (>= 0 bp)	Total length (>= 10000 bp)	Total length (>= 50000 bp)	Total length (>= 100000 bp)	Total length (>= 250000 bp)	Total length (>= 500000 bp)	Total length (>= 1000000 bp)	Total length (>= 2000000 bp)	Total length (>= 3000000 bp)	# contigs	Total length	N75	L50	L75	# N's per 100 kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.
D01-NF-R1	100	98.27	3) high quality Nayfach	98.27	0	0	Parabacteroides	genus	0.764	Parabacteroides distasonis	species	0.524	167983	4.83	96.8	46	343493	3962	63	0	0	0	TRUE	TRUE	TRUE	FALSE	41	30	19	4	0	0	0	0	4831486	4814670	4468075	3688919	1221117	0	0	0	0	46	4831486	103762	10	19	0	o__Bacteroidales (UID2621)	198	427	260	5	422	0	0	0	0
D01-NF-R1	106	98.31	3) high quality Nayfach	99.11	0.16	100	[Eubacterium] rectale	species	0.99	[Eubacterium] rectale M104/1	strain	0.538	106810	2.92	40.38	46	227733	2678	42	0	0	0	TRUE	TRUE	TRUE	FALSE	41	21	10	0	0	0	0	0	2918455	2893787	2314885	1490992	0	0	0	0	0	46	2918455	58983	10	19	0	f__Lachnospiraceae (UID1286)	57	420	207	3	416	1	0	0	0
D01-NF-R1	112_sub	53.96	2) medium quality	97.26	8.66	9.52	Firmicutes bacterium CAG:114	species	0.729	Firmicutes bacterium CAG:114	species	0.729	55238	3.15	13.63	115	175521	3027	62	0	0	0	TRUE	TRUE	FALSE	FALSE	73	21	5	0	0	0	0	0	3146571	2914226	1815805	696164	0	0	0	0	0	115	3146571	21810	17	38	0	o__Clostridiales (UID1212)	172	257	149	12	224	21	0	0	0
D01-NF-R1	116	94.12	3) high quality Nayfach	94.67	0.11	0	Bacteria	superkingdom	0.955	Staphylococcus sp. CAG:324	species	0.512	18320	1.5	7.91	129	52266	1316	27	0	0	1	TRUE	TRUE	TRUE	FALSE	52	1	0	0	0	0	0	0	1503481	1129652	52266	0	0	0	0	0	0	129	1503481	10178	26	52	0	k__Bacteria (UID2328)	3167	126	75	4	121	1	0	0	0
D01-NF-R1	121	89.28	3) high quality Nayfach	99.33	2.01	0	Anaerostipes hadrus	species	0.887	Anaerostipes hadrus	species	0.887	24609	2.71	37.24	190	146635	2486	33	0	0	0	TRUE	TRUE	TRUE	FALSE	83	6	2	0	0	0	0	0	2714847	2167832	552447	273422	0	0	0	0	0	190	2714847	11566	29	71	0	o__Clostridiales (UID1212)	172	263	149	1	259	3	0	0	0
D01-NF-R1	14	93.86	3) high quality Nayfach	94.76	0.18	0	Odoribacter splanchnicus	species	0.945	Odoribacter splanchnicus	species	0.945	15879	3.7	8.17	336	54997	3073	41	0	0	1	TRUE	TRUE	TRUE	FALSE	136	1	0	0	0	0	0	0	3698044	2596445	54997	0	0	0	0	0	0	336	3698044	8709	77	156	0	k__Bacteria (UID2569)	434	278	186	18	259	1	0	0	0
D01-NF-R1	15_sub	39.31	2) medium quality	82.06	8.55	3.57	Eubacteriales	order	0.672	Unclassified	Unclassified	0.382	7757	2.76	8.01	445	39637	2506	22	0	0	0	TRUE	TRUE	FALSE	FALSE	61	0	0	0	0	0	0	0	2762014	914397	0	0	0	0	0	0	0	445	2762014	4763	114	227	0	o__Clostridiales (UID1212)	172	263	149	38	191	23	11	0	0
D01-NF-R1	23	100	3) high quality Nayfach	100	0	0	Bilophila wadsworthia	species	0.982	Bilophila wadsworthia ATCC 49260	strain	0.574	34938	4.22	14.61	210	134253	3580	55	0	0	0	TRUE	TRUE	TRUE	FALSE	110	21	5	0	0	0	0	0	4223017	3634262	1663579	592499	0	0	0	0	0	210	4223017	16043	32	74	0	c__Deltaproteobacteria (UID3218)	61	284	169	0	284	0	0	0	0
D01-NF-R1	25	83.97	3) high quality Nayfach	92.27	1.66	0	Subdoligranulum sp. CAG:314	species	0.965	Subdoligranulum sp. CAG:314	species	0.965	12624	1.52	8.12	186	69648	1360	30	0	1	0	TRUE	TRUE	TRUE	FALSE	41	1	0	0	0	0	0	0	1523365	874835	69648	0	0	0	0	0	0	186	1523365	6680	32	74	0	c__Clostridia (UID1118)	387	223	124	13	206	4	0	0	0
D01-NF-R1	29_sub	64.59	2) medium quality	98.39	6.76	13.33	Coriobacteriia bacterium	species	0.738	Coriobacteriia bacterium	species	0.738	26619	2.53	10.58	141	130580	2351	50	0	0	1	TRUE	TRUE	FALSE	FALSE	80	7	1	0	0	0	0	0	2530248	2168200	543630	130580	0	0	0	0	0	141	2530248	14900	28	59	0	p__Actinobacteria (UID2112)	31	211	124	2	194	15	0	0	0
D01-NF-R1	31_sub	21.53	0) really bad	96.98	15.09	5.41	Eubacteriales	order	0.665	Oscillibacter sp. 57_20	species	0.192	20212	7.94	45.75	713	168248	8205	75	0	0	0	FALSE	FALSE	FALSE	FALSE	196	21	4	0	0	0	0	0	7936497	5365720	1714742	554743	0	0	0	0	0	713	7936497	7916	94	263	0	o__Clostridiales (UID1212)	172	263	149	22	210	28	3	0	0
