genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
infinity_D07-NF-R1_maxbin.100.fa,1_1,0.010000000000000009,average,ANImf,1
infinity_D08-NF-R1_maxbin.040.fa,1_1,0.010000000000000009,average,ANImf,1
nanopore_D08-NF-R1_6.fa,1_1,0.010000000000000009,average,ANImf,1
infinity_D05-NF-R1_125.fa,2_1,0.010000000000000009,average,ANImf,2
nanopore_D05-NF-R1_11.fa,2_1,0.010000000000000009,average,ANImf,2
infinity_D01-NF-R1_30.fa,2_2,0.010000000000000009,average,ANImf,2
nanopore_D01-NF-R1_maxbin.015.fa,2_2,0.010000000000000009,average,ANImf,2
infinity_D03-NF-R1_maxbin.082.fa,2_3,0.010000000000000009,average,ANImf,2
infinity_D03-NF-R1_111.fa,3_1,0.010000000000000009,average,ANImf,3
infinity_D04-NF-R1_bin.151.fa,3_2,0.010000000000000009,average,ANImf,3
infinity_D08-NF-R1_bin.272.fa,4_1,0.010000000000000009,average,ANImf,4
nanopore_D08-NF-R1_bin.106.fa,4_1,0.010000000000000009,average,ANImf,4
infinity_D08-NF-R1_54_sub.fa,5_1,0.010000000000000009,average,ANImf,5
nanopore_D08-NF-R1_66_sub.fa,5_1,0.010000000000000009,average,ANImf,5
infinity_D09-NF-R1_maxbin.062.fa,6_1,0.010000000000000009,average,ANImf,6
nanopore_D09-NF-R1_30.fa,6_1,0.010000000000000009,average,ANImf,6
infinity_D09-NF-R1_maxbin.070.fa,7_1,0.010000000000000009,average,ANImf,7
nanopore_D09-NF-R1_66.fa,7_1,0.010000000000000009,average,ANImf,7
infinity_D07-NF-R1_maxbin.063.fa,7_2,0.010000000000000009,average,ANImf,7
infinity_D01-NF-R1_116.fa,7_3,0.010000000000000009,average,ANImf,7
nanopore_D01-NF-R1_88.fa,7_3,0.010000000000000009,average,ANImf,7
infinity_D02-NF-R2_maxbin.074.fa,7_4,0.010000000000000009,average,ANImf,7
nanopore_D02-NF-R2_64.fa,7_4,0.010000000000000009,average,ANImf,7
