Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	N50	N90	auN	L50	L90	# N's per 100 kbp
Donor1.asm	11848	11721	10315	7423	3466	1691	414605498	414520913	409643286	388077083	325287321	263455213	11845	2834496	414604212	92192	13076	279596.2577162964	853	6118	0.00
Donor2.asm	8701	8577	7630	6064	3302	1789	411290566	411207218	408171094	396603123	352168234	299343896	8700	3065423	411290552	139451	18367	326060.3435514901	626	4143	0.00
Donor3.asm	9747	9558	8045	5680	2698	1402	335627437	335495448	330384665	313060078	266037406	220778115	9746	2867369	335626938	102031	13039	267704.7845672149	652	4722	0.00
Donor4.asm	16782	16515	14399	11088	5510	2552	578198025	578012826	571095726	546228528	456176958	351905161	16778	2277964	578196244	75480	14065	202940.23854329638	1528	8932	0.00
Donor5.asm	8701	8610	7627	5925	2995	1505	360381658	360317217	357018198	344293556	297239024	245334120	8700	2782749	360381296	114151	16077	309939.72916374105	622	4360	0.00
Donor6.asm	7853	7740	6734	5120	2558	1250	315798929	315717483	312379142	300332797	259260099	213914077	7853	2868278	315798929	124943	15442	286149.52106666897	497	3837	0.00
Donor7.asm	10339	10194	8777	6391	3084	1549	375519935	375421888	370650728	352947540	300413719	247212622	10337	2157592	375519402	104269	13769	268965.169032864	710	5118	0.00
Donor8.asm	9639	9482	8110	6152	3174	1690	404718673	404608715	400120954	385523651	337755613	285754413	9635	2767317	404716977	132940	16080	282731.96619699744	658	4500	0.00
Donor9.asm	10146	9939	8508	6556	3407	1760	424355535	424213676	419649069	405082132	354997156	297364044	10145	3082881	424355093	127667	16249	323199.8834750052	672	4752	0.00
Donor10.asm	5499	5431	4785	3724	2076	1195	275405797	275358564	273154060	265235410	238912271	207764030	5499	2177451	275405797	160164	19415	317687.24535190157	388	2482	0.00
