Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	N50	N90	auN	L50	L90	# N's per 100 kbp
D01	571824	55262	9580	4981	1806	717	462823779	277570639	191760103	159805359	110432239	72553557	143884	690940	337689582	8224	716	38979.8	5975	86681	0.00
D02	390229	52842	8874	4328	1701	695	383615195	261386216	174560655	143362527	103048961	67864643	114456	607512	303642380	8183	814	38195.9	5266	66060	0.00
D03	496988	63333	12117	6189	2131	792	481695863	323945852	225476684	184259461	122012839	75841042	145821	612595	380446690	9033	786	35769.2	6818	84210	0.00
D04	661245	119755	20617	8988	2866	1090	739859028	540340785	340679862	260675954	168618659	107235802	237633	714929	622158292	6400	849	32306.7	15362	141041	0.00
D05	409927	51531	9729	5097	1993	841	414429866	281903784	201681258	169522501	121655314	81627869	121394	469061	329604487	11017	793	40276.8	4647	68146	0.00
D06	445619	50035	8632	4407	1884	885	411922941	269156455	189708416	160601247	122002781	87427514	120560	578061	317219480	10497	773	44708.3	4213	68712	0.00
D07	570366	70607	15045	7906	3147	1344	610659525	431885796	321315825	271812359	197881884	135029269	158193	601454	491503995	14178	873	48321.6	5716	81830	0.00
D08	515485	56426	10945	5431	1992	823	457399200	299387557	208624267	170373412	117722058	77464239	125705	541364	346486791	9472	816	35693.6	5726	70254	0.00
D09	436431	54405	10997	5569	2002	827	437273653	300978467	215212131	177458573	122756421	82206659	121150	590905	346487462	10768	833	40866.4	5163	66331	0.00
D10	188327	35814	7637	4694	2107	902	303989685	244553721	190277796	169709670	128777276	86048199	72438	773251	269961125	22428	1043	52043.8	2369	34259	0.00
