querry,reference,alignment_length,similarity_errors,ref_coverage,querry_coverage,ani,reference_length,querry_length,alignment_coverage,primary_cluster
infinity_D01-NF-R1_0.fa,infinity_D01-NF-R1_0.fa,3066858,0,0.99999183,0.99999183,1.0,3066883,3066883,0.9999918484011291,350
infinity_D01-NF-R1_0.fa,infinity_D02-NF-R2_4.fa,2586834,34422,0.7513646,0.8434733,0.9866934,3442848,3066883,0.8434733245448228,350
infinity_D01-NF-R1_0.fa,infinity_D03-NF-R1_56.fa,2419422,30955,0.7382244,0.7888863,0.9872056,3277353,3066883,0.7888863057377801,350
infinity_D01-NF-R1_0.fa,infinity_D04-NF-R1_56.fa,2524419,43532,0.63756984,0.823122,0.98275566,3959439,3066883,0.8231220428037196,350
infinity_D01-NF-R1_0.fa,infinity_D05-NF-R1_bin.64.fa,2338203,30014,0.8579856,0.7624037,0.98716366,2725224,3066883,0.8579856187968402,350
infinity_D01-NF-R1_0.fa,infinity_D06-NF-R1_bin.146.fa,1226365,23808,0.8385333,0.39987344,0.9805865,1462512,3066883,0.8385332906670168,350
infinity_D01-NF-R1_0.fa,infinity_D07-NF-R1_79.fa,2446457,29123,0.7491623,0.7977014,0.9880958,3265590,3066883,0.7977014447567775,350
infinity_D01-NF-R1_0.fa,infinity_D08-NF-R1_bin.40.fa,2360295,28492,0.86904025,0.7696071,0.9879286,2715979,3066883,0.8690402245378186,350
infinity_D01-NF-R1_0.fa,infinity_D09-NF-R1_bin.2.fa,1689269,164278,0.673682,0.55080974,0.90275204,2507517,3066883,0.6736819730434529,350
infinity_D01-NF-R1_0.fa,infinity_D10-NF-R1_bin.56.fa,1475489,106824,0.69088686,0.48110378,0.927601,2135645,3066883,0.6908868281011123,350
infinity_D01-NF-R1_0.fa,nanopore_D01-NF-R1_maxbin.018_sub.fa,2220264,11442,0.7573084,0.72394806,0.9948466,2931783,3066883,0.7573084365384478,350
infinity_D01-NF-R1_0.fa,nanopore_D04-NF-R1_68.fa,1599521,159092,0.6535259,0.5215461,0.9005377,2447525,3066883,0.6535259088262633,350
infinity_D01-NF-R1_0.fa,nanopore_D04-NF-R1_maxbin.016.fa,2401984,37349,0.72771317,0.7832004,0.98445076,3300729,3066883,0.7832004024933459,350
infinity_D01-NF-R1_0.fa,nanopore_D05-NF-R1_maxbin.013.fa,1253176,16940,0.7634474,0.40861553,0.9864823,1641470,3066883,0.7634473977593255,350
infinity_D01-NF-R1_0.fa,nanopore_D06-NF-R1_bin.200.fa,942912,36317,0.8573447,0.3074496,0.9614842,1099805,3066883,0.8573447111078782,350
infinity_D01-NF-R1_0.fa,nanopore_D07-NF-R1_95.fa,2456794,29166,0.72333217,0.80107194,0.9881284,3396495,3066883,0.8010719678579196,350
infinity_D01-NF-R1_0.fa,nanopore_D08-NF-R1_bin.185.fa,2294714,31030,0.8672785,0.74822354,0.9864776,2645879,3066883,0.8672785112244362,350
infinity_D01-NF-R1_0.fa,nanopore_D09-NF-R1_maxbin.008.fa,1994134,150350,0.7394544,0.6502152,0.9246039,2696764,3066883,0.7394543979376764,350
infinity_D01-NF-R1_0.fa,nanopore_D10-NF-R1_bin.5.fa,1860214,93407,0.63542014,0.6065487,0.94978696,2927534,3066883,0.6354201180925653,350
infinity_D02-NF-R2_4.fa,infinity_D01-NF-R1_0.fa,2573686,34401,0.83918625,0.74754566,0.98663354,3066883,3442848,0.8391862356666361,350
infinity_D02-NF-R2_4.fa,infinity_D02-NF-R2_4.fa,3442803,0,0.99998695,0.99998695,1.0,3442848,3442848,0.9999869294258706,350
infinity_D02-NF-R2_4.fa,infinity_D03-NF-R1_56.fa,2580458,36312,0.7873604,0.7495126,0.98592806,3277353,3442848,0.7873604094523843,350
infinity_D02-NF-R2_4.fa,infinity_D04-NF-R1_56.fa,2554960,44707,0.64528334,0.74210656,0.98250186,3959439,3442848,0.7421065350546989,350
infinity_D02-NF-R2_4.fa,infinity_D05-NF-R1_bin.64.fa,2464174,29688,0.90420973,0.7157371,0.9879522,2725224,3442848,0.9042097090000675,350
infinity_D02-NF-R2_4.fa,infinity_D06-NF-R1_bin.146.fa,1274134,24879,0.8711956,0.3700814,0.9804738,1462512,3442848,0.8711955867712539,350
infinity_D02-NF-R2_4.fa,infinity_D07-NF-R1_79.fa,2674526,32866,0.8190024,0.7768353,0.9877115,3265590,3442848,0.8190023854801123,350
infinity_D02-NF-R2_4.fa,infinity_D08-NF-R1_bin.40.fa,2351992,29203,0.8659831,0.68315303,0.9875837,2715979,3442848,0.8659831316810623,350
infinity_D02-NF-R2_4.fa,infinity_D09-NF-R1_bin.2.fa,1699214,166871,0.67764807,0.49354896,0.9017952,2507517,3442848,0.6776480478497254,350
infinity_D02-NF-R2_4.fa,infinity_D10-NF-R1_bin.56.fa,1517152,110935,0.7103952,0.44066772,0.92687947,2135645,3442848,0.7103952201793837,350
infinity_D02-NF-R2_4.fa,nanopore_D01-NF-R1_maxbin.018_sub.fa,2009082,25682,0.6852765,0.58355236,0.98721707,2931783,3442848,0.6852765023877961,350
infinity_D02-NF-R2_4.fa,nanopore_D04-NF-R1_68.fa,1638659,162813,0.66951674,0.4759603,0.9006425,2447525,3442848,0.669516756723629,350
infinity_D02-NF-R2_4.fa,nanopore_D04-NF-R1_maxbin.016.fa,2406706,36725,0.7291438,0.6990451,0.98474056,3300729,3442848,0.7291437739965929,350
infinity_D02-NF-R2_4.fa,nanopore_D05-NF-R1_maxbin.013.fa,1411391,17615,0.85983354,0.40994868,0.9875194,1641470,3442848,0.8598335638177974,350
infinity_D02-NF-R2_4.fa,nanopore_D06-NF-R1_bin.200.fa,989332,35046,0.89955217,0.2873586,0.9645761,1099805,3442848,0.8995521933433654,350
infinity_D02-NF-R2_4.fa,nanopore_D07-NF-R1_95.fa,2684203,32974,0.7902862,0.7796461,0.98771554,3396495,3442848,0.7902861626470817,350
infinity_D02-NF-R2_4.fa,nanopore_D08-NF-R1_bin.185.fa,2311716,31663,0.8737044,0.67145455,0.98630327,2645879,3442848,0.8737043530713233,350
infinity_D02-NF-R2_4.fa,nanopore_D09-NF-R1_maxbin.008.fa,2126408,153422,0.7885035,0.61763054,0.92784923,2696764,3442848,0.788503554630661,350
infinity_D02-NF-R2_4.fa,nanopore_D10-NF-R1_bin.5.fa,1843669,90599,0.6297686,0.53550696,0.9508594,2927534,3442848,0.629768603882995,350
infinity_D03-NF-R1_56.fa,infinity_D01-NF-R1_0.fa,2427678,31190,0.7915783,0.7407435,0.98715234,3066883,3277353,0.791578289748908,350
infinity_D03-NF-R1_56.fa,infinity_D02-NF-R2_4.fa,2581496,36323,0.7498141,0.7876771,0.9859295,3442848,3277353,0.7876771284631225,350
infinity_D03-NF-R1_56.fa,infinity_D03-NF-R1_56.fa,3277303,0,0.99998474,0.99998474,1.0,3277353,3277353,0.9999847437856099,350
infinity_D03-NF-R1_56.fa,infinity_D04-NF-R1_56.fa,2547045,38180,0.6432843,0.7771653,0.9850101,3959439,3277353,0.7771652916240637,350
infinity_D03-NF-R1_56.fa,infinity_D05-NF-R1_bin.64.fa,2217091,28461,0.8135445,0.67648834,0.9871629,2725224,3277353,0.8135445012960403,350
infinity_D03-NF-R1_56.fa,infinity_D06-NF-R1_bin.146.fa,1239287,25676,0.8473688,0.37813658,0.97928166,1462512,3277353,0.847368773726301,350
infinity_D03-NF-R1_56.fa,infinity_D07-NF-R1_79.fa,2454772,32852,0.75170857,0.74901056,0.9866171,3265590,3277353,0.7517085733359056,350
infinity_D03-NF-R1_56.fa,infinity_D08-NF-R1_bin.40.fa,2215070,27215,0.81556964,0.6758717,0.9877137,2715979,3277353,0.8155696343749345,350
infinity_D03-NF-R1_56.fa,infinity_D09-NF-R1_bin.2.fa,1809476,161841,0.7216206,0.5521151,0.9105592,2507517,3277353,0.7216206310864492,350
infinity_D03-NF-R1_56.fa,infinity_D10-NF-R1_bin.56.fa,1548248,110937,0.7249557,0.47240806,0.92834675,2135645,3277353,0.724955692542534,350
