Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S	low.quality	med.quality	high.quality.nayfach	high.quality.bowers	# contigs (>= 10000 bp)	# contigs (>= 50000 bp)	# contigs (>= 100000 bp)	# contigs (>= 250000 bp)	# contigs (>= 500000 bp)	# contigs (>= 1000000 bp)	# contigs (>= 2000000 bp)	# contigs (>= 3000000 bp)	Total length (>= 0 bp)	Total length (>= 10000 bp)	Total length (>= 50000 bp)	Total length (>= 100000 bp)	Total length (>= 250000 bp)	Total length (>= 500000 bp)	Total length (>= 1000000 bp)	Total length (>= 2000000 bp)	Total length (>= 3000000 bp)	# contigs	Total length	N75	L50	L75	# N's per 100 kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.
D01-NF-R1	0	85.93	3) high quality Nayfach	99.33	2.68	25	Anaerostipes hadrus	species	0.936	Anaerostipes hadrus	species	0.936	518342	3.07	2.92	25	657636	2886	62	2	2	2	TRUE	TRUE	FALSE	TRUE	16	10	8	4	3	0	0	0	3066883	3011822	2825949	2707919	2036890	1786112	0	0	0	25	3066883	196850	3	6	0	o__Clostridiales (UID1212)	172	263	149	1	258	4	0	0	0
D01-NF-R1	1	49.55	2) medium quality	78.55	5.8	23.08	Eubacteriales	order	0.675	Lachnospiraceae bacterium	species	0.49	39229	3.05	0.36	117	128728	2806	39	2	1	1	TRUE	TRUE	FALSE	FALSE	87	13	2	0	0	0	0	0	3049863	2843483	993420	255027	0	0	0	0	0	117	3049863	22955	26	52	0	o__Clostridiales (UID1226)	155	278	158	64	201	13	0	0	0
D01-NF-R1	105	54.4	2) medium quality	98.25	8.77	16.67	uncultured Lachnospira sp.	species	0.942	uncultured Lachnospira sp.	species	0.942	455159	3.9	0.88	34	768319	3271	58	2	2	1	TRUE	TRUE	FALSE	FALSE	24	15	11	4	2	0	0	0	3896606	3831637	3662997	3326272	2304204	1362165	0	0	0	34	3896606	127828	4	8	0	k__Bacteria (UID203)	5449	103	57	1	84	18	0	0	0
D01-NF-R1	109	91.29	3) high quality Nayfach	97.99	1.34	0	Firmicutes	phylum	0.817	uncultured Clostridium sp.	species	0.42	442735	3.06	0.41	17	719758	2704	46	1	1	1	TRUE	TRUE	FALSE	TRUE	16	11	7	3	2	0	0	0	3062293	3053771	2900322	2568692	1865907	1423172	0	0	0	17	3062293	148234	3	6	0	o__Clostridiales (UID1212)	172	263	149	4	256	3	0	0	0
D01-NF-R1	111	57.99	2) medium quality	63.84	1.17	100	Oscillospiraceae bacterium	species	0.776	Oscillospiraceae bacterium	species	0.776	28677	1.62	0.17	74	92239	1527	27	0	0	0	TRUE	TRUE	FALSE	FALSE	53	6	0	0	0	0	0	0	1620391	1466749	400909	0	0	0	0	0	0	74	1620391	17934	18	35	0	o__Clostridiales (UID1212)	172	263	149	90	170	3	0	0	0
D01-NF-R1	116	99.4	3) high quality Nayfach	100	0.12	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.982	Unclassified	Unclassified	0.982	1123243	1.87	2.8	3	1123243	1585	47	2	2	2	TRUE	TRUE	FALSE	TRUE	3	2	2	2	2	1	0	0	1868348	1868348	1835028	1835028	1835028	1835028	1123243	0	0	3	1868348	711785	1	2	0	p__Actinobacteria (UID2112)	31	211	124	0	210	1	0	0	0
D01-NF-R1	121_sub	47.82	2) medium quality	88.07	8.05	27.78	Firmicutes bacterium CAG:83	species	0.984	Firmicutes bacterium CAG:83	species	0.984	118025	2.06	0.36	29	341442	1903	54	2	0	3	TRUE	TRUE	FALSE	FALSE	23	17	6	1	0	0	0	0	2056912	2023345	1909440	1122535	341442	0	0	0	0	29	2056912	73841	6	12	0	o__Clostridiales (UID1212)	172	263	149	41	208	12	2	0	0
D01-NF-R1	122_sub	-6.91	1) low quality	40.09	9.4	36.84	Firmicutes	phylum	0.735	Firmicutes bacterium CAG:94	species	0.525	33270	1.33	0.27	63	167498	1372	29	1	0	0	TRUE	FALSE	FALSE	FALSE	33	5	2	0	0	0	0	0	1326177	1118317	556092	329855	0	0	0	0	0	63	1326177	14689	8	24	0	o__Clostridiales (UID1212)	172	263	149	142	104	16	1	0	0
D01-NF-R1	128	86.09	2) medium quality	87.19	0.22	100	Oscillospiraceae bacterium	species	0.7	Unclassified	Unclassified	0.578	149130	2.1	0.68	20	630437	1965	66	3	4	6	TRUE	TRUE	FALSE	FALSE	19	14	7	1	1	0	0	0	2097373	2087726	1914766	1445695	630437	630437	0	0	0	20	2097373	70072	4	9	0	o__Clostridiales (UID1212)	172	263	149	25	237	1	0	0	0
D01-NF-R1	130	54.35	2) medium quality	56.35	0.4	100	Subdoligranulum sp. CAG:314	species	1	Subdoligranulum sp. CAG:314	species	1	22983	0.92	0.18	53	57784	849	16	1	0	0	TRUE	TRUE	FALSE	FALSE	39	1	0	0	0	0	0	0	923170	835576	57784	0	0	0	0	0	0	53	923170	13760	15	28	0	c__Clostridia (UID1118)	387	223	124	85	137	1	0	0	0
